numero_de_inscripcion|numero_de_inscripcion_antiguo|seccion|nombre|nombre_generico|fecha_de_inscripcion|tipo_de_entidad|confesion|subconfesion|ambito|domicilio|poblacion|provincia|codigo_postal|comunidad_autonoma|correo_electonico|web|representantes_legales|federaciones
000047|15-SE/F|Sección Especial (Fundaciones)|FUNDACION  ESCUELAS PARROQUIALES DE LA ARCHIDIOCESIS DE BARCELONA||19860916|FUNDACIÓN||||BALMES, 78|BARCELONA|BARCELONA|00000|CATALUÑA|||CARLES ARMENGOL  I SISCARES,ENRIC TERMES FERRE,IGNASI GARÇIA I CLAVEL,MERCE CASELLES RUTLLANT,RAFAEL RUIZ DE GAUNA TORRES,SARA BLASI GUTIERREZ,VICTOR MAGRANS I JULIA|
000690|249-SE/F|Sección Especial (Fundaciones)|FUNDACION  ESPLAIS DE SANTA MARIA DE NURIA||20031230|FUNDACIÓN||||PATI PALAU, 1-5|SEU D' URGELL|LÉRIDA|00000|CATALUÑA|||ALBEIRO VASQUEZ CASALLAS,Anna  FARRE CASES,Carmen BUSQUETS SANDIUMeNGE,Jordi LUSILLA CABANAS,Jordi TEIXIDO PARROMONA,Pere BALAGUER BAJONA,Ramón  BALAGUE BAJONA|
000424|153-SE/F|Sección Especial (Fundaciones)|FUNDACION  FAMILIA CRISTIANA||19971013|FUNDACIÓN||||SAN CLEMENTE, 1, 3º F|JAEN|JAÉN|00000|ANDALUCIA|||JESUS SIMON PEINADO MENA|
000151|53-SE/F|Sección Especial (Fundaciones)|FUNDACION  FORMACIO CRISTIANA PERMANENT MN. MANUEL BONET||19890124|FUNDACIÓN||||LOS MADRAZO, 92, 1º|BARCELONA|BARCELONA|00000|CATALUÑA|||MANUEL ADROER IGLESIAS|
000438|158-SE/F|Sección Especial (Fundaciones)|FUNDACION  HERMANOS APARICIO DE LA PEÑA-ESCUELA DE LOS SAGRADOS CORAZONES DE JESUS Y MARIA||19980505|FUNDACIÓN||||ALMENDRO,  4|GETAFE|MADRID|28901|MADRID|||Francisco-José Pérez de Fernández Golfin|
000561|202-SE/F|Sección Especial (Fundaciones)|FUNDACION  HOGAR DE BETANIA||20000915|FUNDACIÓN||||IGLESIA, 4|MURCIA|MURCIA|00000|MURCIA|||Andres NIETO MOROTE,Angel COBACHO LOPEZ,Ernesto ESCRIBA FERNANDEZ-MARCOTE,Jose GIMENEZ VERA,Jose CARRASCO PELLICER,Juan José HURTADO YELO,Manuel MASSOTTI FERNANDEZ-DELGADO,Marcelino MARTINEZ GONZALEZ,Santiago CABALLERO ESCRIBANO|
000677|244-SE/F|Sección Especial (Fundaciones)|FUNDACION  HOGAR RENACER||20031013|FUNDACIÓN||||JUAN FELIPE VILELA, 18|CORDOBA|CÓRDOBA|00000|ANDALUCIA|||Manuel María HINOJOSA PETIT|
000709|256-SE/F|Sección Especial (Fundaciones)|FUNDACION  ICSCO  (INTERNATIONAL CENTER FOR THE STUDY OF THE CHRISTIAN ORIENT/CENTRO INTERNACIONAL PARA EL ESTUDIO DEL ORIENTE CRISTIANO)||20040415|FUNDACIÓN||||PLAZA ALONSO CANO, S/N|GRANADA|GRANADA|00000|ANDALUCIA|||ALBERTO ESPINAR LARA,FERNANDEZ PEREZ JOSE ALBERTO,FRANCISCO JAVIER MARTINEZ FERNANDEZ,GOHAR VAHANYAN,MARIA DEL VAL PANIAGUA SANCHEZ,MARIA DOLORES LOPEZ SANCHEZ,MROWSZYNSKI -VAN ALLEN ARTUR,PHILIPPE PASCAL MARC VALLAT|
000134|47-SE/F|Sección Especial (Fundaciones)|FUNDACION  INSTITUCIÓN  JOSEFA MARESCH SERVET||19880428|FUNDACIÓN||||CASPE, 92, 1º, 2ª|BARCELONA|BARCELONA|00000|CATALUÑA|||ANTONIO CASAMOR PRAT|
000454|164-SE/F|Sección Especial (Fundaciones)|FUNDACION  INSTITUCIÓN BETANIA||19980910|FUNDACIÓN||||LAS CRUCES, S/N|LANJARON|GRANADA|00000|ANDALUCIA|||manuel reyes ruíz|
000658|237-SE/F|Sección Especial (Fundaciones)|FUNDACION  JUNTA CONSTRUCTORA DEL TEMPLE EXPIATORI DE LA SAGRADA FAMILIA||20030116|FUNDACIÓN||||MALLORCA, 401|BARCELONA|BARCELONA|00000|CATALUÑA|||Esteve CAMPS SALA,Guillem LOPEZ CASASNOVAS,Jaume SOLE JANER,Jaume SOLE JANER,Joan TRIAS DE BES MINGOT,Joaquima ALEMANY ROCA,Mar GALCERAN PEIRO,Maria CARULLA DE TOMAS,Pere ALEGRI GUITART|
000699|252-SE/F|Sección Especial (Fundaciones)|FUNDACION  LA PAU||20040309|FUNDACIÓN||||CONCILI DE TRENTO, 297-299|BARCELONA|BARCELONA|00000|CATALUÑA|||IGNASI MARQUES RODRIGUEZ|
000715|258-SE/F|Sección Especial (Fundaciones)|FUNDACION  LA SAGRA Y NUESTRA SEÑORA DE LAS MERCEDES||20040721|FUNDACIÓN||||PLAZA HERMANOS FERNANDEZ  CRIADO, 14|ILLESCAS|TOLEDO|00000|CASTILLA LA MANCHA|||Braulio Rodríguez Plaza,Eugenio Isabel Molero,JESUS MORENO MARTIN,Juan José López Fabuel,LUIS MIGUEL SUAREZ CORREA,Manuel MORCILLO SANCHEZ,Mariano NAVARRO RAMIREZ,Miguel Angel CATALAN AREVALO,Mª de los Ángeles Lozano Castellote,Mª. del Valle GARCIA MAGAN|
000416|150-SE/F|Sección Especial (Fundaciones)|FUNDACION  LOS OLIVOS||19970715|FUNDACIÓN||||PLAZA PALACIO, 1|BARBASTRO|HUESCA|00000|ARAGÓN|||AMBROSIO ECHEVARRIA ARROITA|
000440|159-SE/F|Sección Especial (Fundaciones)|FUNDACION  LOYOLA ANDALUCÍA Y CANARIAS||19980525|FUNDACIÓN||||AVENIDA EDUARDO DATO, 20|SEVILLA|SEVILLA|00000|ANDALUCIA|||Ana Delia ARROYO VALOIRA,Angel ARENAS MAGRIÑAN,Antolin de la MUÑOZA GONZALEZ,Antonio ALLENDE FELGUEROSO,ELISA GARCIA ESPAÑA,JUAN PABLO RODRIGUEZ GUTIERREZ,María Teresa MORIES JIMENEZ,guillermo RODRIGUEZ-IZQUIERD GAVALA|
000323|116-SE/F|Sección Especial (Fundaciones)|FUNDACION  LUIS TRELLES Y NOGUEROL||19930511|FUNDACIÓN||||VAZQUEZ VARELA, 54, 3º DCHA.|VIGO|PONTEVEDRA|00000|GALICIA|||ANTONIO TRONCOSO DE CASTRO,Alfonso MORA PALAZON,Alicia REAL PEREZ,Bartolomé ORDOÑEZ GUERRERO,Benigno VAZQUEZ ALONSO,Carlos RAPOSO LORES,Feliciano  RODRIGUEZ MARTINEZ,Fernando VALMASEDA SOLAS,Inocencio RIVERA GARCIA,Jose Manuel GARCIA MENDEZ,José  PASTOR VALLVE,José Carlos GARCIA LAGO ,José Manuel PIÑEIRO SANCHEZ,Manuel FERNANDEZ TABOADA,María Dolores MONTENEGRO PAZO,María Esther PORTELA PIÑEIRO,Mauricio VILAR MONTERO,Ramón  GARCIA MERINO|
000675|243-SE/F|Sección Especial (Fundaciones)|FUNDACION  LUX MUNDI||20031010|FUNDACIÓN||||NUEVA, 3|FUENGIROLA|MÁLAGA|00000|ANDALUCIA|||GLORIA INES URIBE  CIFUENTES,GUILLERMO RODRIGUEZ-IZQUIERDO GAVALA,GUILLERMO TEJERO MOYA,JESUS E CATALA IBAÑEZ,JOSE MANUEL FERRARI OJEDA,LUIS ESPINA CEPEDA,RODRIGO RUIZ SERRANO|
000646|232-SE/F|Sección Especial (Fundaciones)|FUNDACION  MARCEL LI TORREBADELLA I MESTRES||20021129|FUNDACIÓN||||RIERA D'HORTA, 2,2-3|BARCELONA|BARCELONA|00000|CATALUÑA|||FRANCESC TORREBADELLA ESQUERDA,JORDI  TORREBADELLA MESTRES,MANUEL OLIVERA NUÑEZ,MARIA ANGELES GUERRERO MARTINEZ,MONTSERRAT TORREBADELLA MESTRES,NURIA TORREBADELLA MESTRES,ROSA MESTRES COMAS|
000381|137-SE/F|Sección Especial (Fundaciones)|FUNDACION  MARIALAR||19951019|FUNDACIÓN||||BERTRAN, 158-160|BARCELONA|BARCELONA|00000|CATALUÑA|||JOSEFINA FONT BAYELL|
000131|46-SE/F|Sección Especial (Fundaciones)|FUNDACION  MARQUESA DE MUÑOZ||19880428|FUNDACIÓN||||CARDENAL PLA Y DANIEL, 1|AVILA|ÁVILA|00000|CASTILLA LEON|||FELIPE FERNANDEZ GARCIA|
000197|70-SE/F|Sección Especial (Fundaciones)|FUNDACION  MARQUESES DE CASABLANCA||19900427|FUNDACIÓN||||GRACIA, 48|GRANADA|GRANADA|00000|ANDALUCIA|||JOSE MENDEZ ASENSIO|
000443|160-SE/F|Sección Especial (Fundaciones)|FUNDACION  MARÍA ELISA  PÉREZ DE NANCLARES  Y ANDRÉS||19980602|FUNDACIÓN||||VICENTE GOICOECHEA, 7|VITORIA-GASTEIZ|ÁLAVA|01005|PAIS VASCO|||Claudio CASTELLANOS PRIETO,Juan Carlos ELIZALDE ESPINAL,María MARTINEZ ZUÑIGA,Virginia RUIZ DE LUZURIAGA URTIAGA|
000171|60-SE/F|Sección Especial (Fundaciones)|FUNDACION  MATIA-PARDO||19890718|FUNDACIÓN||||BAILEN, 29|BILBAO|VIZCAYA|00000|PAIS VASCO|||Felicitas MARTIN FERNANDEZ,Francisco IZQUIERDO DE LA GUERRA,Koldo MURO FERNANDEZ|
000460|166-SE/F|Sección Especial (Fundaciones)|FUNDACION  MONFORT||19981013|FUNDACIÓN||||JONQUERES, 18, 8 C|BARCELONA|BARCELONA|8002|CATALUÑA|||Alejandro MARTINEZ AGUILAR,Gerard CERQUEDA DOMINGO,Gerardo MANRESA PRESAS,Jose-Luis ABIZANDA PEDROS,Nicéforo SANCHEZ SANCHEZ,Pilar PERAGON ARJONA,Ramón CASALS LAMARCA|
000216|77-SE/F|Sección Especial (Fundaciones)|FUNDACION  NUESTRA SEÑORA DE LA ASUNCION Y SAN JOSE||19900618|FUNDACIÓN||||TRASCORRALES, 2|MAS DE LAS MATAS|TERUEL|00000|ARAGÓN|||MARIANO ALTABA RABAZA|
000165|58-SE/F|Sección Especial (Fundaciones)|FUNDACION  OBRA BENEFICO SOCIAL DEL NEN DEU||19890607|FUNDACIÓN||||PASSEIG MARAGALL, 185-187.|BARCELONA|BARCELONA|00000|CATALUÑA|||FRANCISCO MUÑOZ ALARCON|
000194|69-SE/F|Sección Especial (Fundaciones)|FUNDACION  OBRA PIA DE SAN FERNANDO||19900427|FUNDACIÓN||||GRACIA, 48|GRANADA|GRANADA|00000|ANDALUCIA|||JOSE MENDEZ ASENSIO MENDEZ ASENSIO|
000394|142-SE/F|Sección Especial (Fundaciones)|FUNDACION  PADRE RUBIO||19960311|FUNDACIÓN||||CLAUDIO COELLO, 32, 4º, IZDA.|MADRID|MADRID|00000|MADRID|||ALMUDENA GONZALEZ DEL VALLE DE LA BRENA,JAVIER DE DONESTEVE BORDIU,JOSE CARLOS GARCIA DE SIERRA MENENDEZ,MARIA QUEIPO DE LLANO ACUÑA,MARIANO MEANA LALIGA,Mª. CARMEN PRIETO MENENDEZ,Mª. DEL MILAGRO GARCIA-LOMAS SANCHIZ,Mª. DOLORES DE LA BRENA SANCHIZ,Mª. ELENA GARCIA GALLARDO DEL RIO,Mª. LOURDES ZULUETA SANCHIZ,Mª. ROSA NAVARRO MARTINEZ DE AVELLANOSA|
000481|175-SE/F|Sección Especial (Fundaciones)|FUNDACION  PARA LA EVANGELIZACION Y COMUNICACIÓN||19990203|FUNDACIÓN||||CAÑADA DE CARRERAS, S/N|POZUELO DE ALARCÓN|MADRID|28223|MADRID|||ENRIQUE MARTIN BAENA,LEONARDO MORALES TORRIJOS,LEONARDO MORALES TORRIJOS,MIGUEL RUIZ DEL ARBOL FERNANDEZ,hernan PEREDA BULLRICH|
000137|48-SE/F|Sección Especial (Fundaciones)|FUNDACION  PATRONATO JESUS ABANDONADO DE MURCIA||19880428|FUNDACIÓN||||CARRETERA DE SANTA CATALINA, 55|MURCIA|MURCIA|00000|MURCIA|||ANA MENDEZ ESPAÑA|
000162|57-SE/F|Sección Especial (Fundaciones)|FUNDACION  PIA ALMOINA DE LA CATEDRAL DE BARCELONA||19890705|FUNDACIÓN||||PLAZA DE LA SEU, S/N|BARCELONA|BARCELONA|00000|CATALUÑA|||FRANCESC MUÑOZ ALARCON|
000445|161-SE/F|Sección Especial (Fundaciones)|FUNDACION  POU DE FOXA||19980616|FUNDACIÓN||||PALAU, 2.|TARRAGONA|TARRAGONA|00000|CATALUÑA|||JOAN ARAGONÉS LLEBARIA|
000470|170-SE/F|Sección Especial (Fundaciones)|FUNDACION  PROYECTO DON BOSCO||19990112|FUNDACIÓN||||SAN FRANCISCO DE SALES, S/N|CÓRDOBA|CÓRDOBA|14001|ANDALUCIA|||ALEJANDRO GUEVARA RODRIGUEZ,ANGEL ASURMENDI MARTINEZ,ANTONIO ECHETO ZUBIRI,CRISTOBAL LOPEZ ROMERO,Diego ARAGON YUSTE,FRANCISCO JOSE PEREZ CAMACHO,IGNACIO VAZQUEZ DE LA TORRE PRIETO,Ignacio VAZQUEZ DE LA TORRE PRIETO,JESUS MUÑOZ DE PRIEGO ALVEAR,JOSE GONZALEZ RODRIGUEZ,JOSE LUIS AGUIRRE MACIAS,JOSE MIGUEL NUÑEZ MORENO,Javier CAMINO VARO,José Ramón ALCALA-ZAMORA PEREZ,LAURA BARNETO ARANDA,Miguel CANINO ZANOLETTY,Mª. Teresa GARCIA MORENO|
000270|97-SE/F|Sección Especial (Fundaciones)|FUNDACION  PUBLICA SOCIO CULTURAL RELIGIOSA VIRGEN DEL CARMEN||19910918|FUNDACIÓN||||AVENIDA DEL ARROYO, 1|BENALMADENA|MÁLAGA|00000|ANDALUCIA|||ANTONIO MARTIN GONZALEZ|
000362|130-SE/F|Sección Especial (Fundaciones)|FUNDACION  RADIO SANTA MARIA||19950125|FUNDACIÓN||||ARCO DE PALACIO, 1.|TOLEDO|TOLEDO|00000|CASTILLA LA MANCHA|||BRAULIO RODRIGUEZ PLAZA|
000098|34-SE/F|Sección Especial (Fundaciones)|FUNDACION  REAL COLEGIO SEMINARIO DE CORPUS CHISTI||19870806|FUNDACIÓN||||NAVE, 1|VALENCIA|VALENCIA|00000|COMUNIDAD VALENCIANA|||Joaquin PASCUAL TORRO,Juan-José GARRIDO ZARAGOZA,Mariano RUIZ CAMPOS,Miguel NAVARRO SORNI|
000301|108-SE/F|Sección Especial (Fundaciones)|FUNDACION  SAN BERNARDO||19921201|FUNDACIÓN||||AVENIDA DEL MANZANARES, 20-22|MADRID|MADRID|00000|MADRID|||FIDEL HERRAEZ VEGAS,Fausto MARIN CHIVA|
000623|224-SE/F|Sección Especial (Fundaciones)|FUNDACION  SAN CLEMENTE DE LORCA||20020531|FUNDACIÓN||||PRESBITERO EMILIO GARCIA, 3,1º|LORCA|MURCIA|00000|MURCIA|||JOSE CARRASCO PELLICER|
000200|71-SE/F|Sección Especial (Fundaciones)|FUNDACION  SAN EDUARDO Y SAN LUIS||19900427|FUNDACIÓN||||GRACIA, 48|GRANADA|GRANADA|00000|ANDALUCIA|||JOSE MENDEZ ASENSIO|
000139|49-SE/F|Sección Especial (Fundaciones)|FUNDACION  SAN FRANCISCO JAVIER Y JUAN PABLO II||19880616|FUNDACIÓN||||PARROCO CRISTOBAL BALAGUER, 2-3ºA      (PARROQUIA DE SAN FRANCISCO JAVIER)|SAN JAVIER|MURCIA|00000|MURCIA|||ANTONIO LOPEZ MARTINEZ|
000142|50-SE/F|Sección Especial (Fundaciones)|FUNDACION  SAN JOSE ORIOL||19880616|FUNDACIÓN||||JOAN GUELL, 198-200|BARCELONA|BARCELONA|00000|CATALUÑA|||CARLES SAURO I CALZADA,FRANCESC RAVENTOS i PUJOL,JAUME BERDOY i ALEMANY,JOSEP SERRA I COLOMER,JOSEP MARIA TURULL i GARRIGA,JOSEP MARIA JUBANY I CASANOVAS,PERE TENA i GARRIGA,SALVADOR CRISTAU i COLL,SEBASTIA TALTAVULL i ANGLADA|
000431|156-SE/F|Sección Especial (Fundaciones)|FUNDACION  SAN JOSE-JOSEFA LÓPEZ||19980504|FUNDACIÓN||||CARRETERA MADRIDEJOS, 137.|VILLACAÑAS|TOLEDO|45860|CASTILLA LA MANCHA|||Antonio LOPEZ-GASCO ROMERO,Braulio RODRIGUEZ PLAZA,Juan SANZ ORTEGA,Luis Manuel LUCENDO LARA,María Lidia PRAVIA JARQUIN,Mª. Pilar SANCHEZ REVUELTO,Nieves GRANADO GARCIA PLAZA,Rafael del ALAMO HERNANDO|
000124|43-SE/F|Sección Especial (Fundaciones)|FUNDACION  SAN JUSTINO||19881221|FUNDACIÓN||||BAILEN, 8|MADRID|MADRID|00000|MADRID|||ANGEL SUQUIA GOICOECHEA|
000635|228-SE/F|Sección Especial (Fundaciones)|FUNDACION  SAN VALERO||20021105|FUNDACIÓN||||VIOLETA PARRA,  9|ZARAGOZA|ZARAGOZA|00000|ARAGÓN|||ANGEL GARCIA DE JALON COMET,Aurelio LOPEZ DE HITA,Carlos Jaime GOMEZ GARCIA,Carlos-Jaime GOMEZ GARCIA,Carlos-Manuel ESCRIBANO SUBIAS,Francisco  PEREZ ARBUES,Javier FERRER DUFOL,Javier de VAL BRIEVA,José-Enrique OCEJO RODRIGUEZ,José-María  RUBIO RUBIO,Luis-Jesús LOSTAO CAMON,Manuel  TERUEL IZQUIERDO,María LOPEZ PALACIN,Salvador DOMINGO COMECHE|
000168|59-SE/F|Sección Especial (Fundaciones)|FUNDACION  SANT LLORENC||19890706|FUNDACIÓN||||BAILEN, 13|BARCELONA|BARCELONA|00000|CATALUÑA|||LLUIS MARTINEZ SISTACH|
000451|163-SE/F|Sección Especial (Fundaciones)|FUNDACION  SANTA ANA DE JESUS||19980909|FUNDACIÓN||||GRACIA,  48.|GRANADA|GRANADA|00000|ANDALUCIA|||manuel reyes ruíz|
000619|222-SE/F|Sección Especial (Fundaciones)|FUNDACION  SANTA MARIA DE GRACIA||20020227|FUNDACIÓN||||CARRETERA A VILLANUEVA DE LAS CRUCES, S/N|CALAÑAS|HUELVA|00000|ANDALUCIA|||Catalina RAMIREZ GARCIA,Diego CERREJON PALACIOS,Dolores MORA CONDE,Francisco Javier REAL ALVAREZ,Ildefonso FERNANDEZ CABALLERO,Isabel RAMIREZ BORRERO,Jose VILAPLANA BLASCO,Jose Antonio OMIST LOPEZ,José María CAMACHO MARTIN,Manuel GONZALEZ RODRIGUEZ,Manuel Jesus CARRASCO TERRIZA,Pilar VIZCAINO MACIAS|
000421|152-SE/F|Sección Especial (Fundaciones)|FUNDACION  SANTISIMA TRINIDAD||19970915|FUNDACIÓN||||BAILEN,  8|MADRID|MADRID|00000|MADRID|||ANTONIO MARIA ROUCO VARELA|
000537|194-SE/F|Sección Especial (Fundaciones)|FUNDACION  SANTISIMO CRISTO DE LA VERA-CRUZ Y MARIA SANTISIMA DE LOS DOLORES||20000331|FUNDACIÓN||||MUÑOZ GARNICA,  19|JAEN|JAÉN|00000|ANDALUCIA|||JOSE MANUEL RAMIREZ PARRAS|
000434|157-SE/F|Sección Especial (Fundaciones)|FUNDACION  SANTISÍMO CRISTO DE LA SANGRE||19980505|FUNDACIÓN||||PLAZA DEL CRISTO,  2 .|TORRIJOS|TOLEDO|00000|CASTILLA LA MANCHA|||francisco alvarez martínez|
000188|67-SE/F|Sección Especial (Fundaciones)|FUNDACION  SEMINARIO SANATORIO SIERRA NEVADA||19900427|FUNDACIÓN||||GRACIA, 48|GRANADA|GRANADA|00000|ANDALUCIA|||JOSE MENDEZ ASENSIO|
000419|151-SE/F|Sección Especial (Fundaciones)|FUNDACION  VERGE BLANCA||19970910|FUNDACIÓN||||ACADEMIA, 17|LLEIDA|LÉRIDA|00000|CATALUÑA|||Amadeu BONET I BOLDU,Jacinto PERNIA VAL,Joan ESCOLAR PUJOLAR,Joan R. SAURA I ARANDA,Josep FERNANDEZ PUIGPELAT,Josep Mª. FIGUERA RUBIO,Josep Ramon VIDAL GODALL,Laura OBEA MOLINA,Mª. Jose ROSSELL I FARRE,Paquita ARTURO ROYO,Xavier NUS I GARRELL|
000349|126-SE/F|Sección Especial (Fundaciones)|FUNDACION  VIRGEN DE LOS DOLORES||19940912|FUNDACIÓN||||CARLOS III, 12 y 14|EL ESCORIAL|MADRID|00000|MADRID|||MIGUEL MARTINEZ PASCUAL|
000927|349-SE/F|Sección Especial (Fundaciones)|FUNDACION "AMIGOS DE LAS ROZAS-SEMINARIO" (ARS)||20110905|FUNDACIÓN||||CARRETERA DE PLASENCIA, KILOMETRO 69, 5|ROZAS DEL PUERTO REAL|MADRID|28649|MADRID|||ALMUDENA GARCIA DE MIRASIERRA DOMINGUEZ-SIERRA,ASUNCION MOREU BARCENA,Antonio Pardinas Sanz,CRISTINA MESONERO-ROMANOS AGUILAR,Carlos Gallardo Peláez,FRANCISCO CAÑADAS MANJON,Francisco González-Robatto Fernández,HERIBERTO TERUEL MARQUEZ DE PRADO,IGNACIO DE HOCES IÑIGUEZ,JOSE BERNARDO DIAZ-MAROTO ORO,Joaquín María López de Andujar Canovas del Castillo,José María Piñar Pinedo,Juan Allende Milans del Bosch,Luis Rueda Esteban,MAURICIO SARTORIUS Y MILANS DEL BOSCH,Manuel Blaso Siegrist,Ramón Álvarez de Toledo Álvarez de Builla,SILVIA CASTELLANOS BORREGO|
000918|345-SE/F|Sección Especial (Fundaciones)|FUNDACION "CASA CUNA DE LA ANUNCIACI0N"||20110606|FUNDACIÓN||||AVENIDA DEL BARRANCO, S/N|SUCINA|MURCIA|30590|MURCIA|||Ginés Avilés Alcaraz,Isabel Amado Mancha,José León León,María Noemí Múnera Londoño Múnera Londoño,Matilde Gil Jiménez,Matías Lorente Gracia|
023170||Sección Especial (Fundaciones)|FUNDACION "CENTRO DE ORIENTACION FAMILIAR ASTURIAS" (COF ASTURIAS)||20161031|FUNDACIÓN||||RECTOR LEOPOLDO ALAS HIJO, 3|OVIEDO|ASTURIAS|33013|ASTURIAS|||Jesus SANZ MONTES,Jorge Juan FERNANDEZ SANGRADOR,José Luis PASCUAL ARIAS,José Ramón GARCES MARTINEZ|
000930|350-SE/F|Sección Especial (Fundaciones)|FUNDACION "CENTRO DE SANTA BARBARA"||20111007|FUNDACIÓN||||PLAZA DE LA CATEDRAL, S/N (PALACIO EPISCOPAL)|PLASENCIA|CÁCERES|10600|EXTREMADURA|||Amadeo Rodríguez Magro,Antonio Cano Valleros,Antonio de Luis Galán,Florencio de Lama Santos,Francisco Cerro Chaves,Jesús Moreno Ramos,Leonardo Galán Pedrosa,María del Carmen Fuentes Nogales,Sonia Eleno Rosa|
000661|238-SE/F|Sección Especial (Fundaciones)|FUNDACION "CENTRO DE SOLIDARIDAD DIOCESANO DE TERUEL Y ALBARRACIN"||20030606|FUNDACIÓN||||HARTZEMBUCH, 9|TERUEL|TERUEL|00000|ARAGÓN|||JOSE MARIA MONTON DITO|
001056|394-SE/F|Sección Especial (Fundaciones)|FUNDACION "MADRE DE LA VIDA"||20140211|FUNDACIÓN||||SANTIAGO DE LA FUENTE, 3|BARGAS|TOLEDO|00000|CASTILLA LA MANCHA|||ANASTASIO GOMEZ HIDALGO,ANGEL LUQUE DIAZ,BRAULIO RODRIGUEZ PLAZA,EMILIO TACERO OLIVA,ENRIQUE RODRIGUEZ RAMOS,MARIA CRISTINA MARTINEZ ROMERO,RUBEN BALLESTEROS CARRASCO,SAGRARIO ONTALBA RODRIGUEZ|
000245|88-SE/F|Sección Especial (Fundaciones)|FUNDACION ABUNDIO GARCIA ROMAN||19901029|FUNDACIÓN||||RAIMUNDO LULIO, 3|MADRID|MADRID|28010|MADRID|||Antonio CORBI COPOVI,Antonio Angel ALGORA HERNANDO,Carlos OSORO SIERRA,Carlos ROMERO BERMUDEZ,Jose MIGUEL LOPEZ,José Luis SANTOS NAVIA,Juan Carlos CARVAJAL BLANCO,María Luisa SANJUAN SERRANO,María Teresa MARTIN GONZALEZ,Mª. José PLAZA BRAVO,Pedro MARTIN NOGAL,Pilar BLANCO MUÑOZ|
023048||Sección Especial (Fundaciones)|FUNDACION ACOGIDA CRISTIANA EN LOS CAMINOS DE SANTIAGO||20160630|FUNDACIÓN||||RUA DO VILAR -CASA DEL DEAN 1|SANTIAGO DE COMPOSTELA|LA CORUÑA|15703|GALICIA|canciller@archicompostela.org||Angel GONZALEZ FERNANDEZ,Antolin de CELA PEREZ,Carolina VAZQUEZ CASADO,Cesar  RUA CEBRIAN,Daniel Carlos LORENZO SANTOS,Jaume ALEMANY PASCUAL,Javier FRESNO CAMPOS,Mª. Jose DOPICO CALVO,Rafael CANSECO GOMEZ,Segundo PEREZ LOPEZ,Susana María RIO VIEITES,Xose Uxio DOMINGUEZ CARBALLO|
000363|131-SE/F|Sección Especial (Fundaciones)|FUNDACION ACOLLIDA I ESPERANÇA||19950213|FUNDACIÓN||||MUNTANER, S/N.  (CAN BANUS)|BARCELONA|BARCELONA|00000|CATALUÑA|||AGNES GUARDIOLA I AMAT|
000503|183-SE/F|Sección Especial (Fundaciones)|FUNDACION AD GENTES||19990517|FUNDACIÓN||||AVELLANAS,  22|VALENCIA|VALENCIA|46003|COMUNIDAD VALENCIANA|||Arturo MONFORT MOLINAS,Arturo Javier GARCIA PEREZ,Fernando María NAVARRO PELLICER,Jose CERVERO ALABAU,Jose Francisco BORRAS SANCHIS,Salvador PEIRO I GREGORI,Vicente BELLVER CAPELLA,Vicente Emilio LOPEZ CASTELL|
000112|39-SE/F|Sección Especial (Fundaciones)|FUNDACION AGRUPACIO CULTURAL I SOCIAL (ACIS)||19870910|FUNDACIÓN||||MIGUEL DE LOS SANTOS OLIVER, 4|BARCELONA|BARCELONA|00000|CATALUÑA|||ANTONI VILA CARBONES,ESTEVE FERRER PANADES,ESTHER TARRIDA GONZALEZ,ISABEL PALOU COMAS,JOAN MILLAN SERRA,Josep SERRA LLIMONA,María Dolores Villas Ventura,Mercé Molina Paniello|
000121|42-SE/F|Sección Especial (Fundaciones)|FUNDACION AJUDA I ESPERANZA||19871126|FUNDACIÓN||||MODOLELL, 41|BARCELONA|BARCELONA|00000|CATALUÑA|||AGUSTIN VIÑAS REXACH,Esperança ESTEVE ORTEGA,JOAN MARIA TERRIBAS SALA,Javier MARTINEZ GOMEZ,Mª. ROSA BUXARRAIS ESTRADA,PEDRO BARCELO JULIA,ROBERT RODERGAS PAGES,ROSA NAVAS ALBAREDA,Ramón TOUS QUINTANA|
000740|268-SE/F|Sección Especial (Fundaciones)|FUNDACION AJURIA-ALFARO||20050210|FUNDACIÓN||||SAMUEL PICAZA, 5|SANTA CRUZ DE CAMPEZO|ÁLAVA|00000|PAIS VASCO|||CARLOS MENDO HERRAN,JOSE IGNACIO TEJADA HERVAS,JOSE LUIS BUSTEROS LARRAURI,JUAN JOSE BETOLAZA PINEDO,RAUL UZQUIANO ALEGRIA,RICARDO JAVIER CORRES PEREZ,SOFIA LOPEZ DE AGUILETA QUINTANA|
000950|358-SE/F|Sección Especial (Fundaciones)|FUNDACION AMBROSIO DE AGUIRRE PARA LA FORMACION DE SACERDOTES||20120102|FUNDACIÓN||||BEATO TOMAS DE ZUMARRAGA, 67|VITORIA-.GASTEIZ|ÁLAVA|1008|PAIS VASCO|||JOSE ANTONIO BADIOLA SAENZ DE UGARTE,LUIS MARIA GOICOECHEA BURUCHAGA,RAFAEL SEVILLA VALENCIA|
