nom|tipus|numero_inscripcio|data_inscripcio|adreca|poblacio|codiPostal|comarca|classificacioGeneral|classificacioEspecifica
Acompanya - Ca n'Eva Fundació Privada|Fundació|2169|2006/02/09|Carrer del Pilar , 93, bxs. 2a|Premià de Mar|08330|Maresme|Assistencial|Famílies
Adesma Fundació, Fundació Privada|Fundació|1011|1996/07/31|Carrer Maria Sauret , 3|Lleida|25007|Segrià|Assistencial|Assistencial ; Tutelar 3a edat ; Residències ; 3a edat
Aeronàutica E. Díaz de Brito|Fundació|401|1988/11/14|Carrer Balmes , 152, 5è 3a|Barcelona|08008|Barcelonès|Cultural|Cultural
Agrupació Agrària Montsec, Fundació Privada|Fundació|849|1994/11/25|Carrer Magistrat Saura , 29|Tremp|25620|Pallars Jussà|Cultural|Cultural ; Mediambientals
Agrària de Roda i les Masies, Fundació Privada|Fundació|1079|1997/06/09|Carrer Sant Pere , 32|Roda de Ter|08510|Osona|Cultural|Fins científics ; Cultural
Agustí de Santacruz de Sant Feliu de Codines|Fundació|165|1985/05/15|Carrer Pare Coll , 12|Sant Feliu de Codines|08182|Vallès Oriental|Assistencial|Residències ; Assistencial
Albert Espelt Manrique, Fundació Privada|Fundació|2877|2014/12/23|Carrer Numancia , 185, 1r|Barcelona|08034|Barcelonès|Assistencial i Cultural|
Albert Pascual, Fundació Privada|Fundació|1856|2003/09/10|Carrer Travessera de Gràcia , 308, 3r 2a|Barcelona|08025|Barcelonès|Cultural|Cultural ; Esportives
Alex Corretja, Fundació d'Ajuda a Esportistes|Fundació|1482|2000/12/12|Carrer Llaceres , 1|Sant Cugat del Vallès|08173|Vallès Occidental|Cultural|Cultural ; Esportives
Aliança per la Solidaritat|Fundació|1391|2000/04/10|Carrer Sant Antoni Maria Claret , 135|Barcelona|08025|Barcelonès|Assistencial|Cooperació al desenvolupament ; Assistencial
Althaia, Xarxa Assistencial Universitària de Manresa, Fundació Privada|Fundació|298|1987/04/03|Carrer Doctor Joan Soler , 1-3|Manresa|08243|Bages|Assistencial|Hospitalàries ; Assistencial
Alzheimer Catalunya, Fundació Privada|Fundació|2344|2007/07/23|Carrer Bruc , 65, 3r 2a|Barcelona|08037|Barcelonès|Assistencial i Docent|Docent ; Assistencial
Amics Joan Petit - Nens amb Càncer, Fundació|Fundació|2105|2005/07/11|Carrer Vidal i Barraquer , 6|Blanes|17300|Selva|Assistencial|Infància i adolescència ; Assistencial
Amics del Liceu, Fundació Privada|Fundació|1894|2003/11/10|Carrer Sant Pau , 1, bis|Barcelona|08001|Barcelonès|Cultural|Artístiques ; Cultural
Ana Dols|Fundació|503|1990/11/28|Avinguda Pere Martell , 14|Tarragona|43001|Tarragonès|Cultural|Promoció ; Cultural
Anelba, Fundació Privada|Fundació|2594|2009/12/03|Carrer Independència , 356, bxs.|Barcelona|08026|Barcelonès|Assistencial|Assistencial
Antoni Marro i Mauri|Fundació|1292|1999/06/16|Carrer Huya , 2, bxs.|Tarragona|43003|Tarragonès|Fins Científics|Atenció mèdica no hospitalària ; Assistencial ; Fins científics
Antonio Planells Fundación Privada|Fundació|1520|2001/03/19|Carrer Muntaner , 181, pral. 1a|Barcelona|08036|Barcelonès|Cultural i Docent|Docent ; Realització actes culturals ; Cultural
Antonio y Vicente Mestres Jané|Fundació|7|1983/05/20|Passatge Alcover , 2|Vilafranca del Penedès|08720|Alt Penedès|Cultural|Altres activitats formatives ; Cultural
Apertura Fundación Privada|Fundació|1668|2002/07/09|Carrer Mallorca , 306, 7è 3a|Barcelona|08037|Barcelonès|Fins Científics|Fins científics
Aquila i Priscila|Fundació|253|1986/07/09|Carrer Avinyó , 32|Terrassa|08223|Vallès Occidental|Cultural|Cultural ; Religioses
Arrels Fundació, Fundació Privada|Fundació|1174|1998/05/08|Carrer Riereta , 24, bxs.|Barcelona|08001|Barcelonès|Assistencial|Assistencial ; Pobres i indigents
Arxiu Festiu. Catalunya, Fundació Privada|Fundació|1932|2004/03/03|Carrer Virtut , 4, bxs.|Barcelona|08012|Barcelonès|Cultural|Preservació del patrimoni cultural ; Cultural
Assistencial de l'Anoia|Fundació|339|1987/12/04|Passatge Verdaguer , 114|Igualada|08700|Anoia|Assistencial|Assistencial ; Hospitalàries
Augere Foundation, Fundación Privada|Fundació|1982|2004/05/26|Carrer Muntaner , 254, 1r 2a|Barcelona|08021|Barcelonès|Cultural|Promoció ; Cultural
Barcelona European Marketing Institute, Fundació Privada|Fundació|1933|2004/03/03|Carrer Consell de Cent , 366, pral.|Barcelona|08009|Barcelonès|Cultural|Promoció ; Cultural
Barcelona Graduate School of Economics, Fundació Privada|Fundació|2252|2006/10/30|Carrer Ramon Trias Fargas , 25-27|Barcelona|08005|Barcelonès|Cultural i Docent|Cultural ; Docent
Beca Rosa María del Olvido Fernández Riba|Fundació|58|1984/07/03|Carrer Salmerón , 12, 2n 1a|Lleida|25004|Segrià|Docent|Promoció ; Docent
Bertran i Oriola, Fundació Privada|Fundació|1257|1999/02/08|Carrer Santa Lluïsa de Marillac , 9, 1r|Barcelona|08003|Barcelonès|Assistencial|Assistencial ; Residències
Bet-San, Fundació Privada|Fundació|31|1984/04/10|Carrer Narcís Monturiol , 30-32|Santa Coloma de Gramenet|08923|Barcelonès|Assistencial|3a edat ; Assistencial
Biocat, la Fundació BioRegió de Catalunya|Fundació|2262|2006/11/21|Carrer Baldiri Reixac , 4-8, Torre 1, -1|Barcelona|08028|Barcelonès|Fins Científics|Fins científics
Biot Foundation|Fundació|2973|2016/06/27|Riera Pare Fita , 74 - 76, 3r 3a|Arenys de Mar|08350|Maresme|Assistencial i Cultural|Assistencial ; Cultural
Byblos|Fundació|464|1989/12/15|Carrer Escoles Pies , 103|Barcelona|08017|Barcelonès|Cultural|Assistencial ; Cultural ; Cooperació al desenvolupament
Bàsquet Tarragona Fundació Privada|Fundació|1682|2002/08/20|Avinguda Catalunya , 22, E, entl.|Tarragona|43002|Tarragonès|Cultural|Cultural ; Esportives
CETaqua, Centro Tecnológico del Agua, Fundación Privada|Fundació|2305|2007/03/16|Carretera d'Esplugues , 75, local 1-2|Cornellà de Llobregat|08940|Baix Llobregat|Fins Científics|Fins científics
Campus Docent Sant Joan de Déu, Fundació Privada|Fundació|1639|2002/04/05|Carrer Miret i Sans , 10-16|Barcelona|08034|Barcelonès|Docent|Docent ; Altres activitats formatives
Canals - Junyer|Fundació|1386|2000/03/13|Carrer Viaducte de Vallcarca , 4|Barcelona|08023|Barcelonès|Cultural|Altres activitats formatives ; Cultural
Casa Hospital de Misericòrdia de Santa Anna|Fundació|127|1984/12/20|Carrer Santa Maria , 1|Vic|08500|Osona|Assistencial|Infància i adolescència ; Assistencial
Casa de Misericordia Santa Anna|Fundació|885|1995/04/11|Carrer Hostal La Canal , s/n|Valls de Valira|25798|Alt Urgell|Assistencial|Assistencial ; Pobres i indigents
Casa-Asil Parroquial de la Immaculada|Fundació|440|1989/06/06|Carrer Sant Jordi , 2|Mollet del Vallès|08100|Vallès Oriental|Assistencial|Assistencial ; Residències
Casal Benèfic Premianenc|Fundació|109|1984/11/19|Carrer Sant Miquel , 90|Premià de Mar|08330|Maresme|Assistencial|Residències ; Assistencial
Casal Cultural|Fundació|354|1988/02/29|Carrer Rambla , s/n|Mollet del Vallès|08100|Vallès Oriental|Docent|3a edat ; Cultural
Casal Loiola Fundació Privada P. Martí Tusquets sj|Fundació|2861|2014/09/26|Carrer Balmes , 138|Barcelona|08008|Barcelonès|Cultural|Cultural
Casal d'Europa de Sabadell|Fundació|237|1986/04/16|Carrer Sant Isidre , s/n|Sabadell|08208|Vallès Occidental|Cultural|Cultural ; Promoció
Casc Antic, Fundació Privada|Fundació|618|1992/06/30|Carrer Tarròs , 10-14, bxs.|Barcelona|08003|Barcelonès|Assistencial|Assistencial ; Famílies
Catalunya Literària, Fundació Privada|Fundació|1497|2001/01/12|Rambla Nova , 106, bis, 7è|Tarragona|43001|Tarragonès|Cultural|Promoció ; Cultural
Catalunya-Amèrica Sant Jeroni de la Murtra|Fundació|474|1990/03/07|Carrer Comtal , 24, pral.|Barcelona|08002|Barcelonès|Cultural|Cultural ; Promoció
Catalònia|Fundació|185|1985/07/08|Plaça Bonanova , 15|Barcelona|08022|Barcelonès|Cultural i Fins Científics|Cultural ; Fins científics
Celestina Picart Gayolà|Fundació|412|1989/01/17|Avinguda Seminari , s/n|Solsona|25280|Solsonès|Cultural|Cultural
Cenhid Fundació Privada|Fundació|2186|2006/04/11|Avinguda Supermolina - Edifici Pla del Roc , s/n|Molina, la|17537|Cerdanya|Cultural, Assistencial i Fins Científics|Cultural ; Assistencial ; Fins científics
Centre Català de Solidaritat, Fundació Privada (CECAS)|Fundació|611|1992/06/04|Carrer Banys Nous , 16, 2n|Barcelona|08002|Barcelonès|Assistencial|Assistencial ; Drogodependents
Centre Europeu del Patrimoni de Barcelona|Fundació|655|1993/03/12|Passeig Gràcia , 35, 2n|Barcelona|08007|Barcelonès|Cultural|Cultural ; Preservació del patrimoni cultural
Centre Tecnològic de la Química de Catalunya (CTQC), Fundació Privada|Fundació|2494|2008/10/28|Carrer Marcel·lí Domingo , s/n|Tarragona|43007|Tarragonès|Fins Científics|Fins científics
Centre d'Aplicacions TIC de Manresa Fundació Privada|Fundació|2389|2007/12/19|Avinguda Bases de Manresa , 1|Manresa|08242|Bages|Cultural i Fins Científics|Cultural ; Fins científics
Centre d'Estudis Europeu per a la Formació dels Treballadors (C.E.E.F.T.)|Fundació|282|1986/12/24|Carrer Aragó , 287, pral. 2a|Barcelona|08009|Barcelonès|Cultural|Docent ; Cultural ; Altres activitats formatives
Centre d'Estudis d'Història Contemporània Biblioteca Josep M. Figueras, Fundació Privada|Fundació|9|1983/07/18|Carrer Avió Plus Ultra , 12, bxs.|Barcelona|08017|Barcelonès|Cultural|Preservació del patrimoni cultural ; Cultural
Centre de Difusió Tecnològica de la Fusta i el Moble de Catalunya, Fundació Privada|Fundació|2188|2006/04/13|Avinguda de la Generalitat , 66|Sénia|43560|Montsià|Docent i Fins Científics|Fins científics ; Docent
Centre de Formació en Tecnologies de Manlleu (CEFORTEM), Fundació Delaris Sanglas|Fundació|2356|2007/10/02|Carrer Enric Delaris , 60|Manlleu|08560|Osona|Cultural i Docent|Docent ; Cultural
Centre de Recursos per a la Indústria Tèxtil, Fundació Privada|Fundació|743|1993/11/30|Carrer Sant Pau , 13|Premià de Mar|08330|Maresme|Cultural|Cultural ; Realització actes culturals
Centro de Actividades e Investigaciones Artísticas, Corberó|Fundació|247|1986/06/27|Carrer Montserrat , 57|Esplugues de Llobregat|08950|Baix Llobregat|Cultural|Cultural ; Artístiques
Centro de Innovación del Sector de la Maquinaria Agrícola y de los Equipos Industriales. Maqcentre, Fundación Privada|Fundació|2553|2009/03/02|Parc de Gardeny  , Ed. H|Lleida|25071|Segrià|Fins Científics|Fins científics
Cetir. Fundació Privada|Fundació|1281|1999/04/26|Carrer Josep Anselm Clavé , 100|Esplugues de Llobregat|08950|Baix Llobregat|Assistencial, Docent i Fins Científics|Assistencial ; Fins científics ; Docent
Chiari &amp; Scoliosis &amp; Syringomyelia, Fundació Privada|Fundació|2489|2008/10/09|Carrer Pedro i Pons , 9-11, 3r 3a|Barcelona|08034|Barcelonès|Cultural, Assistencial i Fins Científics|Fins científics ; Cultural ; Assistencial
Ciutat i Valors, Fundació de Serveis i Iniciatives Socials de la Ciutat de Barcelona|Fundació|2372|2007/11/13|Carrer Treball , 203-209|Barcelona|08020|Barcelonès|Assistencial|Assistencial
Ciència i Salut, Fundació Privada|Fundació|773|1994/04/15|Carrer Sant Llorenç , 21|Reus|43201|Baix Camp|Cultural i Fins Científics|Fins científics ; Cultural
Club Patí Vilanova, Fundació Privada|Fundació|2357|2007/10/02|Plaça de les Casernes , s/n|Vilanova i la Geltrú|08800|Garraf|Cultural|Cultural
Colección Thyssen Bornemisza|Fundació|256|1986/07/24|Rambla Catalunya , 125, 1r|Barcelona|08007|Barcelonès|Cultural|Preservació del patrimoni cultural ; Cultural
Colomer Sanz|Fundació|1153|1998/03/10|Ronda Ferran Puig , 18|Girona|17001|Gironès|Cultural|Preservació del patrimoni cultural ; Artístiques ; Cultural
Col·legi de Sant Miquel dels Sants|Fundació|191|1985/07/31|Carrer Manlleu , s/n|Vic|08500|Osona|Assistencial i Docent|Gestió centres d'ensenyament ; Assistencial ; Docent
Comissió Cavalcada dels Reis d'Igualada, Fundació Privada|Fundació|1323|1999/10/05|Carrer Aurora , 23|Igualada|08700|Anoia|Cultural|Cultural ; Realització actes culturals
Cova Sant Ignasi - Manresa, Fundació Privada|Fundació|2689|2011/08/30|Camí de la Cova , 17|Manresa|08241|Bages|Cultural|Cultural
Custodi Castel "Cotori" Fundació Privada|Fundació|2057|2004/12/23|Avinguda de Victoriano Muñoz , 22|Pont de Suert|25520|Alta Ribagorça|Cultural|Cultural ; Realització actes culturals
Círculo de Innovación Energética|Fundació|732|1993/10/12|Carrer Aragó , 463, entl. 1a|Barcelona|08013|Barcelonès|Cultural|Cultural
D'Ajuda al Desenvolupament de l'Hematologia i Oncologia a Catalunya (FADHOC)|Fundació|1|1983/01/20|Avinguda Diagonal , 442, bis, 4t|Barcelona|08007|Barcelonès|Cultural i Fins Científics|Fins científics ; Cultural
D'Estudis Socials i Inserció Professional|Fundació|379|1988/06/14|Carrer Rius i Taulet , 5|Sant Joan Despí|08169|Baix Llobregat|Cultural|Discapacitats ; Promoció ; Cultural
DTI Donation &amp; Transplantation Institute, Fundació Privada|Fundació|2451|2008/06/02|Carrer Baldiri i Reixac , 4-8, Torre I, 8è|Barcelona|08017|Barcelonès|Assistencial i Fins Científics|Fins científics ; Assistencial
Damun Fundación Privada|Fundació|1825|2003/06/13|Avinguda S'Agaró , 90, local 2|Castell-Platja d'Aro|17249|Baix Empordà|Assistencial i Cultural|Assistencial ; Infància i adolescència ; Discapacitats ; Famílies ; Cultural
David Fundació|Fundació|2870|2014/11/14|Carrer Indústria , 45, esc., G, 8è 1a|Sabadell|08202|Vallès Occidental|Cultural|Cultural
De Farmàcia Clínica|Fundació|581|1992/02/03|Carrer Reus , 26, àtic 2a|Barcelona|08022|Barcelonès|Fins Científics|Fins científics
Doctor Martínez Vázquez|Fundació|426|1989/04/12|Carrer Cavallers , 76, bxs.|Barcelona|08034|Barcelonès|Cultural|Fins científics ; Cultural
Dr. Albert Bonet, Fundació Privada|Fundació|957|1996/02/28|Carrer Calàbria , 273-275, ent. 4a|Barcelona|08029|Barcelonès|Cultural|Preservació del patrimoni cultural ; Cultural
Duran Vall - Llosera|Fundació|297|1987/03/31|Carrer Lluís Vives , 1|Premià de Dalt|08338|Maresme|Docent|Docent ; Altres activitats formatives
Ecoavant Fundació Privada|Fundació|2086|2005/04/11|Carrer Alonso Cano , 31|Cerdanyola del Vallès|08290|Vallès Occidental|Cultural|Realització actes culturals ; Cultural
El Parés de Gurb, Fundació Privada|Fundació|2468|2008/07/21|Carrer El Parès , s/n|Gurb|08503|Osona|Assistencial i Cultural|Cultural ; Assistencial
ElBulliFoundation, Fundació Privada|Fundació|2757|2013/02/22|Cala Montjoi , s/n|Roses|17480|Alt Empordà|Cultural i Fins Científics|Fins científics ; Cultural
Elsa Peretti Foundation, Fundació Privada|Fundació|939|1996/01/22|Carrer de la Font , 2|Sant Martí Vell|17462|Gironès|Cultural, Assistencial i Fins Científics|Cultural ; Fins científics ; Assistencial ; Artístiques
Emeritus Fundació Privada|Fundació|2848|2014/07/04|Carrer Rambla , 173, 1r|Sabadell|08202|Vallès Occidental|Assistencial i Cultural|Assistencial ; Cultural
Emeterio González Pallerol, Fundación Privada|Fundació|1393|2000/04/12|Carrer Aragó , 193, pral.|Barcelona|08011|Barcelonès|Assistencial|Assistencial ; 3a edat
Entitat Tutelar del Garraf, Fundació Privada|Fundació|2111|2005/07/20|Avinguda Camí dels Capellans , 79, local|Sitges|08870|Garraf|Assistencial|Assistencial
Entorn Social|Fundació|1169|1998/05/07|Plaça Treball , 6, bxs.|Lleida|25008|Segrià|Assistencial|Discapacitats ; Assistencial ; Pobres i indigents
Escola Diocesana de Navàs, Fundació Privada|Fundació|1564|2001/07/03|Carrer Vicenç Vidal Casacuberta , 2|Navàs|08670|Bages|Docent|Gestió centres d'ensenyament ; Docent
Escola d'Art Floral de Catalunya, Fundació Privada|Fundació|1234|1998/11/25|Carretera a Sant Cugat , 114|Barcelona|08035|Barcelonès|Cultural|Cultural ; Artístiques
Escola del Treball del Ripollès, Fundació Privada Eduard Soler|Fundació|1076|1997/05/26|Ronda Mas d'en Bosch  , s/n|Ripoll|17500|Ripollès|Docent|Docent ; Altres activitats formatives
Escola l'Horitzó Fundació Privada per la Investigació i Promoció Escolar|Fundació|210|1985/11/27|Passeig de la Bonanova , 7|Barcelona|08022|Barcelonès|Docent|Docent ; Gestió centres d'ensenyament
Escoles Domènech|Fundació|836|1994/10/24|Carrer Sant Pere Màrtir , 1|Barcelona|08012|Barcelonès|Docent|Docent ; Gestió centres d'ensenyament
Escuelas Tolra de Castellar del Vallès Fundación Privada|Fundació|764|1994/03/15|Carrer Església , 16|Castellar del Vallès|08211|Vallès Occidental|Docent|Docent
Eumeos|Fundació|822|1994/08/12|Carrer Girona , 22, pral. 2a|Barcelona|08010|Barcelonès|Assistencial|Assistencial ; Famílies
Eurofirms Fundació Privada|Fundació|2380|2007/12/05|Carrer Pla de l'Estany , 17|Cassà de la Selva|17244|Gironès|Assistencial|Assistencial
European Foundation for the Study of Chronic Liver Failure (EF-CLIF)|Fundació|2908|2015/06/23|Travessera de Gràcia , 11, 7a|Barcelona|08021|Barcelonès|Fins Científics|Fins científics
F. P. Para la Investigación de las Enfermedades Digestivas|Fundació|411|1989/01/16|Carrer Agramunt , 8-10|Barcelona|08023|Barcelonès|Cultural|Cultural ; Fins científics
FEFOC, Fundació Privada Professor Jordi Estapé|Fundació|1026|1996/12/24|Carrer Enric Granados , 111, 2n 2a|Barcelona|08008|Barcelonès|Docent i Fins Científics|Fins científics ; Atenció mèdica no hospitalària ; Docent
FUNDACIÓ PRIVADA LAIA MENDOZA|Fundació|2317|2007/05/14|Plaça Assemblea Catalunya , 3, 3r 2a|Badalona|08911|Barcelonès|Assistencial|Assistencial ; Cooperació al desenvolupament
FUNDADEMIN, Fundació Privada d'Ajuda a l'Esport de Minusvàlids|Fundació|968|1996/03/22|Plaça Frederic Soler , 7-9|Barcelona|08022|Barcelonès|Assistencial|Assistencial ; Discapacitats
Faded, Fundació Privada|Fundació|1274|1999/03/25|Carrer Consell de Cent , 304, 2n 1a|Barcelona|08007|Barcelonès|Docent i Fins Científics|Docent ; Assistencial ; Atenció mèdica no hospitalària ; Fins científics
Família i Benestar Social, Fundació Privada|Fundació|344|1988/01/08|Carrer Rull , 1|Barcelona|08002|Barcelonès|Assistencial|Famílies ; Assistencial
Ferres-Planella|Fundació|446|1989/07/21|Plaça Vila , 19, 3r|Amer|17170|Selva|Cultural|Cultural ; Promoció
Fes Fundació Privada|Fundació|2760|2013/03/14|Carrer Torrent de les Roses , 31, bxs.|Barcelona|08034|Barcelonès|Assistencial|Assistencial
Filles de la Caritat Fundació Social|Fundació|2678|2011/05/24|Carrer Provença , 24|Barcelona|08029|Barcelonès|Assistencial|Assistencial
Foment del Basquet, Fundació Privada|Fundació|857|1995/01/17|Pavelló -El Congost-|Manresa|08240|Bages|Cultural|Cultural ; Esportives
Fondacion Privada deth Musèu Etnologic dera Val d'Aran|Fundació|229|1986/02/03|Carrer Major , 26|Vielha e Mijaran|25530|Val d'Aran|Cultural|Preservació del patrimoni cultural ; Cultural
Formació i valors: Fundació Antonio Jiménez, per l'educació, la formació i l'ocupació a Catalunya|Fundació|2475|2008/08/06|Carrer Via Laietana , 54|Barcelona|08003|Barcelonès|Assistencial|Assistencial
Fundacio Privada Educacio, Treball i Societat (F.E.T.S)|Fundació|829|1994/09/16|Carrer General Prim , 74|Hospitalet de Llobregat|08902|Barcelonès|Assistencial i Cultural|Cultural ; Famílies ; Assistencial
Fundacio Privada Escoles de l'Ateneu Igualadí|Fundació|1101|1997/09/25|Carrer dels Esquiladors , 13|Igualada|08700|Anoia|Docent|Docent ; Gestió centres d'ensenyament ; Altres activitats formatives
Fundacio Privada Laies|Fundació|721|1993/09/13|Carrer Dos de Maig , 25, 3r 3a|Sant Cugat del Vallès|08021|Vallès Occidental|Cultural i Docent|Gestió centres d'ensenyament ; Cultural ; Docent
Fundacio Privada Marianao (Casal Infantil i Juvenil de Marianao)|Fundació|1247|1999/01/20|Carrer Girona , 30|Sant Boi de Llobregat|08830|Baix Llobregat|Assistencial i Cultural|Assistencial ; Cultural ; Atenció mèdica no hospitalària
Fundacio Privada Turistica de Santa Susanna|Fundació|1611|2002/01/17|Urbanització Pla de Can Ratés|Santa Susanna|08398|Maresme|Cultural|Cultural
Fundacio Privada de Beneficencia i Afers Socials de Llado|Fundació|1401|2000/05/09|Plaça Priorat , 2|Lladó|17745|Alt Empordà|Assistencial|Residències ; Assistencial
Fundació  Agraria i Ramadera de Polinya|Fundació|841|1994/11/09|Carrer Onze Setembre , 2|Polinyà|08213|Vallès Occidental|Cultural|Cultural ; Mediambientals
Fundació  Privada Escola d'Hosteleria de Sant Boi i Baix Llobregat|Fundació|1020|1996/11/04|Carrer Jaume I , 41|Sant Boi de Llobregat|08830|Baix Llobregat|Cultural i Docent|Altres activitats formatives ; Docent ; Cultural
Fundació  Privada per a la Creativació|Fundació|2785|2013/11/08|Carrer Pic de Peguera , 15, desp. 25|Girona|17003|Gironès|Cultural|Cultural
Fundació "Assistència i Gestió Integral"|Fundació|860|1995/02/08|Carrer Pau Claris , 138, 6è 4t|Barcelona|08007|Barcelonès|Assistencial|Assistencial
Fundació "INICIATIVA SOCIAL, Fundació Privada"|Fundació|3015|2017/04/04|Carrer Rull , 1, bxs.|Barcelona|08002|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació "Institut d'Investigació Biomèdica de Girona Dr. Josep Trueta" (IdiBGI)|Fundació|929|1995/10/12|Carrer Dr. Castany , s/n|Salt|17190|Gironès|Cultural i Docent|Cultural ; Docent
Fundació "Institut d'Investigació en Ciències de la Salut Germans Trias i Pujol"|Fundació|909|1995/07/12|Carretera de Canyet , s/n|Badalona|08916|Barcelonès|Cultural i Fins Científics|Cultural ; Fins científics
Fundació "Institut de Ciències Fotòniques" (ICFO)|Fundació|1651|2002/05/23|Avinguda Carl Friedrich Gauss , 3|Castelldefels|08860|Baix Llobregat|Docent i Fins Científics|Docent ; Fins científics
Fundació "La Ciutat Invisible"|Fundació|2789|2013/11/20|Carrer Pati del Teatre , 2|Salt|17190|Gironès|Cultural|Cultural
Fundació "Mossèn Frederic Bara i Cortiella (Moviment Coordinat de Promoció)"|Fundació|1857|2003/09/10|Carrer Racona , 1-3-5|Reus|43201|Baix Camp|Assistencial|Assistencial ; Infància i adolescència
Fundació "Nausica" de Maria Batlle|Fundació|233|1986/02/20|Carrer Muntaner , 309, torre|Barcelona|08021|Barcelonès|Docent|Gestió centres d'ensenyament ; Docent
Fundació "URV" (FURV)|Fundació|1361|2000/01/18|Carrer de l'Escorxador , s/n|Tarragona|43003|Tarragonès|Cultural|Promoció ; Cultural
Fundació 17 Foundation|Fundació|2927|2015/11/20|Carrer Tuset , 66, 1r 1a|Barcelona|08006|Barcelonès|Assistencial|Assistencial
Fundació ACE, Institut Català de Neurociències Aplicades|Fundació|883|1995/03/31|Gran Via de Carles III , 85, bis|Barcelona|08028|Barcelonès|Assistencial|Tutelar persones malaltia mental ; Atenció mèdica no hospitalària ; Assistencial
Fundació ACFOR, Fundació Privada|Fundació|1273|1999/03/25|Carrer Provença , 49, entl. 6è|Barcelona|08029|Barcelonès|Cultural|Promoció ; Cultural
Fundació AFMA (Accions pel Foment de les Mesures Alternatives)|Fundació|2272|2006/11/24|Carrer Gran de Gràcia , 167, pral. 2a|Badalona|08012|Barcelonès|Assistencial|Assistencial
Fundació AMPANS|Fundació|2655|2010/12/21|Carrer Sant Rafael , 4|Manresa|08243|Bages|Assistencial|Assistencial
Fundació APADO (Assistència Particular a Domicili)|Fundació|2049|2004/12/15|Carrer Riereta , 4|Sant Boi de Llobregat|08830|Baix Llobregat|Assistencial|Assistencial ; Atenció mèdica no hospitalària ; 3a edat
Fundació ASPAMIS|Fundació|2723|2012/04/16|Carrer Mossèn Cinto Verdaguer , 1|Torrefarrera|25123|Segrià|Assistencial|Assistencial
Fundació AUM|Fundació|2903|2015/04/20|Carrer de la Llum , 30, casa|Hostalets de Pierola|08781|Anoia|Cultural|Cultural
Fundació Abat Gaillard|Fundació|869|1995/02/23|Plaça De l'Església , 17, 2n|Vila-seca|43480|Tarragonès|Cultural|Cultural
Fundació Acció Baix Montseny|Fundació|1244|1999/01/18|Carrer Rec del Molí , 27, nau 6|Sant Celoni|08490|Vallès Oriental|Assistencial|Discapacitats ; Assistencial
Fundació Acció Social Infància (FASI)|Fundació|2623|2010/05/25|Carrer Vilardell , 29, ent. 1a|Barcelona|08014|Barcelonès|Assistencial i Cultural|Assistencial ; Cultural
Fundació Acció Solidària Contra l'Atur|Fundació|142|1985/02/21|Riera de Sant Miquel , 1, bis, 3r 2a|Barcelona|08006|Barcelonès|Assistencial|Aturats ; Assistencial
Fundació Adolfo Montaña Riera|Fundació|64|1984/07/12|Carrer Consell de Cent , 304, pral. 1B|Barcelona|08007|Barcelonès|Assistencial|3a edat ; Assistencial
Fundació Afectats d'Esclerosi Múltiple La Llar. (FAEM LA LLAR)|Fundació|1761|2003/02/17|Carrer Leiva , 39, bxs.|Barcelona|08014|Barcelonès|Assistencial|Assistencial ; Residències
Fundació Agbar|Fundació|269|1986/10/01|Carretera Sant Joan Despí , 1|Cornellà de Llobregat|08940|Baix Llobregat|Cultural, Docent i Fins Científics|Docent ; Cultural ; Mediambientals ; Fins científics
